Date,Days_of_the_week,App ,Minutes,Category
8/29,Tuesday,TIKTOK,170,Entertainment
8/29,Tuesday,MESSAGES,86,Social Media
8/29,Tuesday,SPOTIFY,58,Entertainment
8/30,Wednesday,TIKTOK,170,Entertainment
8/30,Wednesday,MESSAGES,58,Social Media
8/30,Wednesday,CALCULATOR,49,Education
8/30,Wednesday,SAFARI,33,Education
8/30,Wednesday,INSTAGRAM,17,Social Media
8/30,Wednesday,CANVAS STUDENT,11,Education
8/31,Thursday,TIKTOK,330,Entertainment
8/31,Thursday,SPOTIFY,62,Entertainment
8/31,Thursday,PHOTOS,39,Other
8/31,Thursday,SAFARI,27,Education
8/31,Thursday,INSTAGRAM,25,Social Media
8/31,Thursday,MESSAGES,20,Social Media
9/1,Friday,MESSAGES,42,Social Media
9/1,Friday,TIKTOK,38,Entertainment
9/1,Friday,CALCULATOR,35,Education
9/1,Friday,INSTAGRAM,20,Social Media
9/1,Friday,SPOTIFY,18,Entertainment
9/1,Friday,SETTINGS,10,Other
9/1,Friday,MICHAELS,9,Other
9/2,Saturday,TIKTOK,209,Entertainment
9/2,Saturday,MESSAGES,40,Social Media
9/2,Saturday,SPOTIFY,19,Entertainment
9/2,Saturday,SNAPCHAT,17,Social Media
9/2,Saturday,INSTAGRAM,17,Social Media
9/2,Saturday,SAFARI,16,Education
9/3,Sunday,TIKTOK,76,Social Media
9/3,Sunday,NOTES,61,Other
9/3,Sunday,MESSAGES,52,Social Media
9/3,Sunday,INSTAGRAM,27,Social Media
9/3,Sunday,CANVAS STUDENT,12,Education
9/3,Sunday,SAFARI,6,Education
9/4,Monday,TIKTOK,439,Social Media
9/4,Monday,MESSAGES,130,Social Media
9/4,Monday,SAFARI,56,Education
9/4,Monday,AMAZON,56,Other
9/4,Monday,INSTAGRAM,21,Social Media
9/4,Monday,SPOTIFY,16,Entertainment
9/4,Monday,NOTES,15,Other
9/5,Tuesday,MESSAGES,53,Social Media
9/5,Tuesday,TIKTOK,39,Social Media
9/5,Tuesday,NOTES,30,Education
9/5,Tuesday,SPOTIFY,26,Entertainment
9/5,Tuesday,CANVAS STUDENT,21,Education
9/5,Tuesday,CAMERA,16,Other
9/5,Tuesday,SAFARI,11,Education
9/5,Tuesday,SNAPCHAT,11,Social Media
9/5,Tuesday,CLOCK,10,Other
9/5,Tuesday,SETTINGS,9,Other
9/5,Tuesday,INSTAGRAM,7,Social Media